REGIONAL,CELLS
4,431280-23
4,431280-33
4,431282-13
4,431282-23
4,431282-33
4,431285-13
4,431285-23
4,431285-33
4,431288-13
4,431288-23
4,431288-33
4,431289-13
4,431289-23
4,431289-33
4,431297-13
4,431297-23
4,431297-33
4,431300-11
4,431300-21
4,431300-31
4,503001-12
4,503001-22
4,503001-32
4,503025-13
4,503025-23
4,503025-33
4,503058-13
4,503058-23
4,503058-33
4,503068-13
4,503068-23
4,503068-33
4,503069-13
4,503069-23
4,503069-33
4,503075-13
4,503075-23
4,503075-33
4,503080-13
4,503080-23
4,503080-33
4,503082-13
4,503082-23
4,503082-33
4,503093-13
4,503093-23
4,503093-33
4,503107-13
4,503140-12
4,503140-22
4,503140-32
4,503141-12
4,503141-22
4,503141-32
4,503997-13
4,503997-23
4,503997-33
4,892757-13
4,892757-23
12,134601-13
12,134601-23
12,134601-33
12,135194-13
12,135194-23
12,135194-33
12,137011-13
12,137011-23
12,137011-33
12,137038-14
12,137038-24
12,137038-34
12,137093-13
12,137093-23
12,137093-33
12,137094-13
12,137094-23
12,137094-33
12,137120-13
12,137120-23
12,137120-33
12,137124-13
12,137124-23
12,137124-33
12,137128-13
12,137128-23
12,137128-33
12,137131-13
12,137131-23
12,137131-33
12,137132-11
12,137132-12
12,137132-21
12,137132-22
12,137132-31
12,137132-32
12,137132-41
12,137132-51
12,137140-33
12,137140-43
12,137161-13
12,137161-23
12,137161-33
12,137306-13
12,137306-23
12,137306-33
12,137569-13
12,137569-23
12,137569-33
12,137577-13
12,137577-23
12,137577-33
12,137602-13
12,137602-23
12,137602-33
12,137632-15
12,137632-25
12,137632-45
12,137632-55
12,137633-13
12,137633-23
12,137633-33
12,137714-33
12,137743-13
12,137743-23
12,137743-33
12,137743-43
12,137743-53
12,137830-13
12,137830-23
12,137830-33
12,137865-13
12,137865-23
12,137865-33
12,137918-35
12,137918-65
12,137926-13
12,137926-23
12,137926-33
12,137940-11
12,137940-21
12,137940-31
12,137971-12
12,137971-22
12,137971-32
12,137992-13
12,137992-23
12,137992-33
12,138028-14
12,138028-24
12,138028-34
12,138036-13
12,138036-23
12,138036-33
12,138096-13
12,138096-23
12,138096-33
12,138154-12
12,138154-22
12,138154-32
12,138155-13
12,138155-23
12,138155-33
12,138322-13
12,138322-23
12,138322-33
12,138373-13
12,138373-23
12,138373-33
12,138432-11
12,138432-21
12,138432-31
12,138563-11
12,138563-21
12,138563-31
12,139050-13
12,139050-23
12,139050-33
12,139051-13
12,139051-23
12,139051-33
12,140017-13
12,140017-23
12,140017-33
12,140608-13
12,140608-23
12,140608-33
12,140646-13
12,140646-23
12,140646-33
12,140695-13
12,140695-23
12,140695-33
12,141014-13
12,141014-23
12,141014-33
12,141022-13
12,141022-23
12,141022-33
12,141027-12
12,141027-22
12,141027-32
12,141048-13
12,141048-23
12,141048-33
12,141054-13
12,141054-23
12,141054-33
12,141058-11
12,141058-21
12,141058-31
12,141104-13
12,141104-23
12,141104-33
12,141152-13
12,141152-23
12,141152-33
12,141154-12
12,141154-22
12,141154-32
12,141182-12
12,141182-22
12,141182-32
12,141283-11
12,141283-21
12,141283-31
12,141610-13
12,141610-23
12,141610-33
12,141651-13
12,141651-23
12,141651-33
12,141697-13
12,141697-23
12,141697-33
12,141786-13
12,141786-23
12,141786-33
12,141850-12
12,141850-22
12,141850-32
12,141851-13
12,141851-23
12,141851-33
12,142004-13
12,142004-23
12,142004-33
12,142009-13
12,142009-23
12,142009-33
12,142010-13
12,142010-23
12,142010-33
12,142014-13
12,142014-23
12,142014-33
12,142015-13
12,142015-23
12,142015-33
12,142019-13
12,142019-23
12,142019-33
12,142027-13
12,142027-23
12,142027-33
12,142036-13
12,142036-23
12,142036-33
12,142037-13
12,142037-23
12,142037-33
12,142041-13
12,142041-23
12,142041-33
12,142048-13
12,142048-23
12,142048-33
12,142051-13
12,142051-23
12,142051-33
12,142057-13
12,142057-23
12,142057-33
12,142073-23
12,142608-13
12,142608-23
12,142608-33
12,142613-13
12,142613-23
12,142613-33
12,142633-13
12,142633-23
12,142633-33
12,142660-13
12,142660-23
12,142660-33
12,142663-13
12,142663-23
12,142663-33
12,142665-13
12,142665-23
12,142665-33
12,142687-13
12,142687-23
12,142687-33
12,142753-13
12,142753-23
12,142753-33
12,142757-13
12,142757-23
12,142757-33
12,143007-13
12,143007-23
12,143007-33
12,143057-13
12,143057-23
12,143057-33
12,143071-13
12,143071-23
12,143071-33
12,143082-13
12,143082-23
12,143082-33
12,143085-13
12,143085-23
12,143085-33
12,143140-13
12,143140-23
12,143140-33
12,143142-13
12,143142-23
12,143142-33
12,143144-13
12,143144-23
12,143144-33
12,143146-13
12,143146-23
12,143146-33
12,143147-13
12,143147-23
12,143147-33
12,143148-13
12,143148-23
12,143148-33
12,143150-13
12,143150-23
12,143150-33
12,143153-13
12,143153-23
12,143153-33
12,143153-43
12,143171-13
12,143171-23
12,143171-33
12,143208-13
12,143208-23
12,143208-33
12,143213-13
12,143213-23
12,143213-33
12,143217-13
12,143217-23
12,143217-33
12,143219-13
12,143219-23
12,143219-33
12,143220-13
12,143220-23
12,143220-33
12,143222-13
12,143222-23
12,143222-33
12,143223-13
12,143223-23
12,143223-33
12,143225-13
12,143225-23
12,143225-33
12,143227-13
12,143227-23
12,143227-33
12,143236-13
12,143236-23
12,143236-33
12,143246-13
12,143246-23
12,143246-33
12,143266-13
12,143266-23
12,143266-33
12,143268-13
12,143268-23
12,143268-33
12,143271-13
12,143271-23
12,143271-33
12,143278-13
12,143278-23
12,143278-33
12,143280-13
12,143280-23
12,143280-33
12,143300-13
12,143300-23
12,143300-33
12,143301-13
12,143301-23
12,143301-33
12,143305-13
12,143305-23
12,143305-33
12,143314-13
12,143314-23
12,143314-33
12,143337-13
12,143337-23
12,143337-33
12,143369-13
12,143369-23
12,143369-33
12,143375-13
12,143375-23
12,143375-33
12,143381-13
12,143381-23
12,143381-33
12,143396-13
12,143396-23
12,143396-33
12,143400-13
12,143400-23
12,143400-33
12,143407-11
12,143407-21
12,143407-31
12,143434-13
12,143434-23
12,143434-33
12,143436-13
12,143436-23
12,143436-33
12,143441-13
12,143441-23
12,143441-33
12,143443-13
12,143443-23
12,143443-33
12,143449-13
12,143449-23
12,143449-33
12,143450-33
12,143453-13
12,143453-23
12,143453-33
12,143457-13
12,143457-23
12,143457-33
12,143459-13
12,143459-23
12,143459-33
12,143465-13
12,143465-23
12,143465-33
12,143475-13
12,143475-23
12,143475-33
12,143480-23
12,143487-11
12,143487-21
12,143487-31
12,143500-13
12,143500-23
12,143500-33
12,143520-13
12,143520-23
12,143520-33
12,143528-13
12,143528-23
12,143528-33
12,143542-13
12,143542-23
12,143542-33
12,143545-13
12,143545-23
12,143545-33
12,143547-13
12,143547-23
12,143547-33
12,143548-13
12,143548-23
12,143548-33
12,143549-13
12,143549-23
12,143549-33
12,143559-13
12,143559-23
12,143559-33
12,143563-13
12,143563-23
12,143563-33
12,143569-13
12,143569-23
12,143569-33
12,143619-13
12,143619-23
12,143619-33
12,143620-13
12,143620-23
12,143620-33
12,143652-11
12,143652-21
12,143652-31
12,143652-41
12,143679-13
12,143679-23
12,143679-33
12,143680-13
12,143680-23
12,143680-33
12,143681-13
12,143681-23
12,143681-33
12,143691-13
12,143691-23
12,143691-33
12,143693-13
12,143693-23
12,143693-33
12,143694-13
12,143694-23
12,143694-33
12,143708-13
12,143708-23
12,143708-33
12,143769-13
12,143769-23
12,143769-33
12,143774-13
12,143774-23
12,143774-33
12,143799-13
12,143799-23
12,143799-33
12,143807-12
12,143807-22
12,143807-32
12,143872-13
12,143872-23
12,143872-33
12,143915-13
12,143915-23
12,143915-33
12,143918-13
12,143918-23
12,143918-33
12,143928-13
12,143928-23
12,143928-33
12,143938-13
12,143938-23
12,143938-33
12,143940-13
12,143940-23
12,143940-33
12,143952-13
12,143952-23
12,143952-33
12,143956-13
12,143956-23
12,143956-33
12,143965-13
12,143965-23
12,143965-33
12,143967-13
12,143967-23
12,143967-33
12,143979-13
12,143979-23
12,143979-33
12,143996-13
12,143996-23
12,143996-33
12,143999-13
12,143999-23
12,143999-33
12,144034-33
12,144034-43
12,144039-13
12,144039-23
12,144039-33
12,144047-12
